Month,Price,Change
12-Jul,273.19,8.21%
12-Aug,298.36,9.21%
12-Sep,302.02,1.23%
12-Oct,296.87,-1.71%
12-Nov,284.38,-4.21%
12-Dec,286.02,0.58%
13-Jan,301.56,5.44%
13-Feb,315.49,4.62%
13-Mar,291.4,-7.64%
13-Apr,276.28,-5.19%
13-May,268.3,-2.89%
13-Jun,273.24,1.84%
13-Jul,291.44,6.66%
13-Aug,309.6,6.23%
13-Sep,309.45,-0.05%
13-Oct,306.79,-0.86%
13-Nov,304.37,-0.79%
13-Dec,316.5,3.99%
14-Jan,308.17,-2.63%
14-Feb,311.85,1.19%
14-Mar,288.64,-7.44%
14-Apr,282.1,-2.26%
14-May,283.16,0.37%
14-Jun,284.21,0.37%
14-Jul,278.28,-2.09%
14-Aug,284.91,2.38%
14-Sep,279.83,-1.78%
14-Oct,253.16,-9.53%
14-Nov,234.16,-7.51%
14-Dec,181.82,-22.35%
15-Jan,150.87,-17.02%
15-Feb,179.3,18.84%
15-Mar,165.95,-7.45%
15-Apr,173.22,4.38%
15-May,188.37,8.74%
15-Jun,176.38,-6.37%
15-Jul,157.66,-10.62%
15-Aug,142.31,-9.73%
15-Sep,145.59,2.30%
15-Oct,145.51,-0.05%
15-Nov,139.9,-3.86%
15-Dec,113.38,-18.95%
16-Jan,97.59,-13.93%
16-Feb,101.89,4.41%
16-Mar,111.97,9.89%
16-Apr,120.16,7.32%
16-May,136.09,13.26%
16-Jun,144.67,6.30%
16-Jul,133.37,-7.81%
16-Aug,135.64,1.70%
16-Sep,138.05,1.78%
16-Oct,152.59,10.54%
16-Nov,142.12,-6.86%
16-Dec,156.31,9.99%
17-Jan,158.75,1.56%
17-Feb,162.18,2.16%
17-Mar,151.52,-6.58%
17-Apr,158.33,4.50%
17-May,148.05,-6.49%
17-Jun,135.82,-8.26%
17-Jul,149.66,10.19%
17-Aug,164.52,9.93%
17-Sep,189.74,15.33%
17-Oct,174.9,-7.82%
17-Nov,185.59,6.11%
17-Dec,198.16,6.78%
18-Jan,215.79,8.90%
18-Feb,204.43,-5.27%
18-Mar,208.36,1.92%
18-Apr,232.94,11.80%
18-May,249.15,6.96%
18-Jun,249.59,0.18%
18-Jul,262.34,5.11%
18-Aug,262.8,0.18%
18-Sep,271.98,3.49%
18-Oct,295.04,8.48%
18-Nov,260.44,-11.73%
18-Dec,235.25,-9.67%
19-Jan,247.63,5.26%
